Known Password Attack Log
Target: 127.0.0.1:8081
Username: john.smith
Intelligence Gathering: Successful
Attack started: 2025-07-28 09:34:53
Total attempts: 72
Password candidates generated: 239
Success: Yes
Found password: John1985!

==================================================
Target Intelligence:
==================================================
full_name: John Smith
first_name: John
last_name: Smith
birth_year: 1985
birth_date: 15031985
age: 39
pet_name: Buddy
hometown: Boston
current_city: Boston
favorite_team: Patriots
company: TechCorp
job_title: Developer
interests: ['technology', 'football', 'gaming']
common_numbers: ['15', '03', '1985', '85']

==================================================
Generated Password Candidates:
==================================================
 1. John456
 2. Boston85$
 3. 1503
 4. Buddy@
 5. john5678
 6. 9012John
 7. 567John
 8. Patriots85
 9. passwordjohn
10. 1985
11. 345John
12. John89
13. john@
14. JOHN$
15. JohnTechcorp
16. John890
17. John1985@
18. JohnSmith85
19. Buddy#
20. 1john
21. Techcorp85
22. john12
23. John789
24. 7890john
25. john2024
26. Boston85*
27. boston1985
28. 12john85
29. john!
30. John85!
31. 901John
32. John901
33. 12John
34. Patriots12345
35. 8901john
36. JOHN!
37. 34john
38. john789
39. 5678John
40. 456John
41. 85John
42. John012
43. 0123John
44. JohnSmith1234
45. 78John
46. John$24
47. Boston1985!
48. johnjohn
49. john1234
50. 85john
51. John34
52. John3456
53. Buddy*
54. johnpassword
55. john67
56. 678john
57. 789John
58. Boston85#
59. Buddy@85
60. John4567
61. 90john
62. John78
63. 890john
64. JOHN85
65. 15031985
66. John1985$
67. john*85
68. 45John
69. 56john
70. Buddy1985
71. john!85
72. John1985!
73. Patriots1985
74. john1985
75. Patriots123
76. Johnpassword
77. techcorp85
78. 01John
79. john01
80. John5678
81. John1985#
82. 123John85
83. 45john
84. john78
85. 3456john
86. 1john85
87. john345
88. 8901John
89. Boston85@
90. john567
91. John67
92. John85*
93. Boston1985@
94. John23
95. Buddy$
96. John234
97. john3456
98. john2345
99. john7890
100. 6789John
101. 90John
102. john$
103. Buddy85$
104. Techcorp1985
105. johntechcorp
106. JOHN*
107. john678
108. john#
109. john234
110. Buddy85@
111. 78john
112. John45
113. 56John
114. Buddy85!
115. JOHN2024
116. John1985*
117. john901
118. John9012
119. 89John
120. John90
121. john#85
122. 123john85
123. BUDDY2024
124. Boston1985*
125. Boston85!
126. 2345john
127. John1234
128. 1234john
129. John01
130. boston85
131. john012
132. Boston1985#
133. johnpass
134. 012John
135. john$85
136. John!24
137. John85$
138. John2345
139. john56
140. 7890John
141. BUDDY85
142. John12
143. BOSTON85
144. JohnJohn85
145. John345
146. John123!
147. 789john
148. john456
149. john@85
150. JOHN@
151. Buddy2024
152. 01john
153. JOHN#
154. JohnSmith12345
155. John2024
156. 012john
157. 34John
158. Buddy85#
159. BUDDY1985
160. johnjohn85
161. 23John
162. Boston1985$
163. 1John85
164. John$85
165. John#24
166. 67john
167. john23
168. John85#
169. John#85
170. john123!
171. JohnJohn
172. 567john
173. 890John
174. 901john
175. john85
176. TECHCORP1985
177. John*24
178. John85@
179. Buddy!
180. TECHCORP85
181. john8901
182. john34
183. John123
184. 12John85
185. john45
186. 5678john
187. 234John
188. 234john
189. passwordJohn
190. BOSTON1985
191. John567
192. 345john
193. 1John
194. 456john
195. John7890
196. john*
197. john6789
198. 23john
199. John*85
200. John0123
201. 1234John
202. JOHN1985
203. John@24
204. Johnpass
205. john0123
206. john4567
207. 3456John
208. john123
209. buddy1985
210. 123John
211. Patriots1234
212. 1985john
213. 12john
214. buddy2024
215. John678
216. 678John
217. john9012
218. 89john
219. John8901
220. 1985John
221. john89
222. 4567john
223. 123john
224. John56
225. 67John
226. john890
227. john90
228. Buddy85*
229. John!85
230. JohnSmith123
231. 6789john
232. buddy85
233. techcorp1985
234. John@85
235. 4567John
236. 0123john
237. 2345John
238. John6789
239. 9012john

==================================================
Detailed Attempt Log:
==================================================
[2025-07-28 09:34:53] Attempt #1: john.smith:John456 - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 09:34:54] Attempt #2: john.smith:Boston85$ - FAILED (Pattern: BirthYear(short) + Hometown + Special) (Response: 0.004s)
[2025-07-28 09:34:54] Attempt #3: john.smith:1503 - FAILED (Pattern: Unknown) (Response: 0.004s)
[2025-07-28 09:34:55] Attempt #4: john.smith:Buddy@ - FAILED (Pattern: PetName + Special) (Response: 0.001s)
[2025-07-28 09:34:56] Attempt #5: john.smith:john5678 - FAILED (Pattern: Unknown) (Response: 0.003s)
[2025-07-28 09:34:58] Attempt #6: john.smith:9012John - FAILED (Pattern: FirstName) (Response: 0.001s)
[2025-07-28 09:34:59] Attempt #7: john.smith:567John - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 09:35:00] Attempt #8: john.smith:Patriots85 - FAILED (Pattern: BirthYear(short) + FavoriteTeam) (Response: 0.003s)
[2025-07-28 09:35:01] Attempt #9: john.smith:passwordjohn - FAILED (Pattern: Unknown) (Response: 0.003s)
[2025-07-28 09:35:01] Attempt #10: john.smith:1985 - FAILED (Pattern: BirthYear) (Response: 0.003s)
[2025-07-28 09:35:02] Attempt #11: john.smith:345John - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 09:35:03] Attempt #12: john.smith:John89 - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-28 09:35:04] Attempt #13: john.smith:john@ - FAILED (Pattern: Special) (Response: 0.003s)
[2025-07-28 09:35:06] Attempt #14: john.smith:JOHN$ - FAILED (Pattern: Special) (Response: 0.003s)
[2025-07-28 09:35:07] Attempt #15: john.smith:JohnTechcorp - FAILED (Pattern: FirstName + Company) (Response: 0.003s)
[2025-07-28 09:35:08] Attempt #16: john.smith:John890 - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 09:35:09] Attempt #17: john.smith:John1985@ - FAILED (Pattern: FirstName + BirthYear + Special) (Response: 0.003s)
[2025-07-28 09:35:11] Attempt #18: john.smith:JohnSmith85 - FAILED (Pattern: FirstName + BirthYear(short)) (Response: 0.002s)
[2025-07-28 09:35:12] Attempt #19: john.smith:Buddy# - FAILED (Pattern: PetName + Special) (Response: 0.004s)
[2025-07-28 09:35:14] Attempt #20: john.smith:1john - FAILED (Pattern: Unknown) (Response: 0.003s)
[2025-07-28 09:35:15] Attempt #21: john.smith:Techcorp85 - FAILED (Pattern: BirthYear(short) + Company) (Response: 0.003s)
