Known Password Attack Log
Target: 127.0.0.1:8081
Username: john.smith
Intelligence Gathering: Successful
Attack started: 2025-07-28 09:27:31
Total attempts: 239
Password candidates generated: 239
Success: No

==================================================
Target Intelligence:
==================================================
full_name: John Smith
first_name: John
last_name: Smith
birth_year: 1985
birth_date: 15031985
age: 39
pet_name: Buddy
hometown: Boston
current_city: Boston
favorite_team: Patriots
company: TechCorp
job_title: Developer
interests: ['technology', 'football', 'gaming']
common_numbers: ['15', '03', '1985', '85']

==================================================
Generated Password Candidates:
==================================================
 1. 012john
 2. Buddy2024
 3. 2345John
 4. Buddy85#
 5. Buddy1985
 6. 01John
 7. John1985#
 8. 15031985
 9. john1234
10. john4567
11. john#
12. john*
13. John2345
14. John345
15. john89
16. John789
17. 123John
18. 234John
19. john2024
20. Buddy#
21. 456John
22. BOSTON1985
23. passwordJohn
24. Boston1985#
25. john23
26. 01john
27. john567
28. john890
29. 1John
30. Boston1985!
31. John85$
32. JohnSmith1234
33. 3456John
34. buddy2024
35. boston85
36. john45
37. Boston1985@
38. 78john
39. Techcorp85
40. John$24
41. BUDDY1985
42. 0123John
43. John01
44. John!85
45. JOHN@
46. john01
47. 234john
48. john2345
49. john$
50. 0123john
51. John901
52. john90
53. John85!
54. 12john
55. Johnpass
56. 89john
57. Boston85@
58. John1985!
59. passwordjohn
60. BUDDY85
61. John7890
62. Techcorp1985
63. john345
64. Boston1985*
65. john12
66. 90john
67. JOHN#
68. Boston85#
69. TECHCORP85
70. john$85
71. John890
72. John45
73. John23
74. JOHN!
75. 890John
76. BUDDY2024
77. John56
78. 6789John
79. John9012
80. 45john
81. johnpassword
82. john67
83. John1985*
84. John567
85. john901
86. 7890John
87. John85*
88. 789john
89. John1985@
90. John6789
91. John89
92. 901John
93. 6789john
94. Buddy!
95. 9012John
96. 012John
97. Patriots1985
98. Boston1985$
99. 1503
100. Boston85*
101. Patriots85
102. john34
103. 1985
104. john7890
105. 23john
106. 8901John
107. 67john
108. john5678
109. JohnSmith12345
110. 1985John
111. 345john
112. Buddy$
113. john*85
114. JohnJohn85
115. JohnTechcorp
116. John5678
117. John234
118. john3456
119. John678
120. John8901
121. 1john85
122. 56John
123. 12John
124. john123!
125. John12
126. 12John85
127. john1985
128. John!24
129. john#85
130. John34
131. 34john
132. John$85
133. JohnJohn
134. 45John
135. John1985$
136. 85john
137. JohnSmith85
138. 78John
139. Boston85$
140. 456john
141. JOHN$
142. 4567john
143. John#85
144. john!85
145. john9012
146. Johnpassword
147. John@85
148. 567john
149. 23John
150. 34John
151. john6789
152. johntechcorp
153. John90
154. boston1985
155. john0123
156. Boston85!
157. buddy1985
158. john!
159. 1985john
160. john789
161. johnjohn
162. Buddy@85
163. John2024
164. Patriots123
165. Patriots12345
166. 678john
167. JohnSmith123
168. John85@
169. John*85
170. John123
171. JOHN*
172. 7890john
173. 789John
174. 890john
175. 8901john
176. 5678John
177. John*24
178. Patriots1234
179. 567John
180. John012
181. 67John
182. johnjohn85
183. 9012john
184. 901john
185. Buddy85!
186. john@85
187. John123!
188. 90John
189. 123John85
190. john234
191. John3456
192. 5678john
193. john8901
194. 1John85
195. 1john
196. John85#
197. John1234
198. john78
199. john678
200. 2345john
201. 345John
202. buddy85
203. John#24
204. TECHCORP1985
205. 3456john
206. 12john85
207. JOHN85
208. techcorp1985
209. 678John
210. john456
211. BOSTON85
212. 4567John
213. 123john
214. john012
215. Buddy85*
216. 1234John
217. techcorp85
218. John4567
219. 123john85
220. Buddy85@
221. johnpass
222. 89John
223. John0123
224. 1234john
225. john56
226. John67
227. john@
228. JOHN2024
229. john123
230. Buddy@
231. 85John
232. John456
233. John78
234. john85
235. John@24
236. Buddy*
237. JOHN1985
238. 56john
239. Buddy85$

==================================================
Detailed Attempt Log:
==================================================
[2025-07-28 09:27:33] Attempt #3: john.smith:2345John - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-28 09:27:34] Attempt #4: john.smith:Buddy85# - FAILED (Pattern: BirthYear(short) + PetName + Special) (Response: 0.005s)
[2025-07-28 09:27:36] Attempt #6: john.smith:01John - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 09:27:38] Attempt #8: john.smith:15031985 - FAILED (Pattern: BirthYear) (Response: 0.003s)
[2025-07-28 09:27:39] Attempt #9: john.smith:john1234 - FAILED (Pattern: CommonNumbers) (Response: 0.004s)
[2025-07-28 09:27:40] Attempt #10: john.smith:john4567 - FAILED (Pattern: Unknown) (Response: 0.003s)
[2025-07-28 09:27:44] Attempt #13: john.smith:John2345 - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 09:27:47] Attempt #15: john.smith:john89 - FAILED (Pattern: Unknown) (Response: 0.004s)
[2025-07-28 09:27:51] Attempt #19: john.smith:john2024 - FAILED (Pattern: CurrentYear) (Response: 0.003s)
[2025-07-28 09:27:53] Attempt #20: john.smith:Buddy# - FAILED (Pattern: PetName + Special) (Response: 0.004s)
[2025-07-28 09:27:56] Attempt #22: john.smith:BOSTON1985 - FAILED (Pattern: BirthYear) (Response: 0.004s)
[2025-07-28 09:27:57] Attempt #23: john.smith:passwordJohn - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 09:28:00] Attempt #25: john.smith:john23 - FAILED (Pattern: Unknown) (Response: 0.002s)
[2025-07-28 09:28:01] Attempt #26: john.smith:01john - FAILED (Pattern: Unknown) (Response: 0.003s)
[2025-07-28 09:28:10] Attempt #33: john.smith:3456John - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-28 09:28:12] Attempt #35: john.smith:boston85 - FAILED (Pattern: BirthYear(short)) (Response: 0.003s)
[2025-07-28 09:28:13] Attempt #36: john.smith:john45 - FAILED (Pattern: Unknown) (Response: 0.004s)
[2025-07-28 09:28:16] Attempt #38: john.smith:78john - FAILED (Pattern: Unknown) (Response: 0.004s)
[2025-07-28 09:28:17] Attempt #39: john.smith:Techcorp85 - FAILED (Pattern: BirthYear(short) + Company) (Response: 0.004s)
[2025-07-28 09:28:21] Attempt #42: john.smith:0123John - FAILED (Pattern: FirstName + CommonNumbers) (Response: 0.004s)
[2025-07-28 09:28:22] Attempt #43: john.smith:John01 - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-28 09:28:26] Attempt #46: john.smith:john01 - FAILED (Pattern: Unknown) (Response: 0.004s)
