Known Password Attack Log
Target: 127.0.0.1:8081
Username: john.smith
Intelligence Gathering: Successful
Attack started: 2025-07-28 09:58:09
Total attempts: 39
Password candidates generated: 239
Success: Yes
Found password: John1985!

==================================================
Target Intelligence:
==================================================
full_name: John Smith
first_name: John
last_name: Smith
birth_year: 1985
birth_date: 15031985
age: 39
pet_name: Buddy
hometown: Boston
current_city: Boston
favorite_team: Patriots
company: TechCorp
job_title: Developer
interests: ['technology', 'football', 'gaming']
common_numbers: ['15', '03', '1985', '85']

==================================================
Generated Password Candidates:
==================================================
 1. 456John
 2. 85John
 3. 4567John
 4. John85$
 5. BOSTON85
 6. 12john
 7. Johnpass
 8. 234John
 9. Buddy@
10. Buddy*
11. 12John
12. john!85
13. John9012
14. John56
15. john$85
16. 123john85
17. John#85
18. 789John
19. John3456
20. John$85
21. Buddy85@
22. TECHCORP85
23. john123!
24. 567John
25. 1john
26. 123john
27. John*85
28. 67john
29. John85!
30. John6789
31. JOHN@
32. JOHN$
33. John85#
34. Techcorp85
35. johnjohn85
36. 1985John
37. 7890John
38. johntechcorp
39. John1985!
40. Boston1985$
41. Buddy@85
42. John@85
43. JohnJohn85
44. Boston1985@
45. John4567
46. 1234John
47. John1234
48. John0123
49. 2345john
50. 45John
51. Boston85$
52. John123
53. 90john
54. 9012john
55. Boston85!
56. buddy85
57. john789
58. John85@
59. JohnSmith1234
60. john!
61. 3456John
62. BUDDY2024
63. 56John
64. 12john85
65. JOHN1985
66. Buddy85*
67. JOHN!
68. 2345John
69. 23John
70. 234john
71. JOHN#
72. john78
73. john345
74. Buddy85!
75. John345
76. Buddy2024
77. John#24
78. John567
79. john567
80. Boston1985*
81. john$
82. 456john
83. 4567john
84. 7890john
85. john890
86. john2024
87. 0123John
88. 6789john
89. 8901john
90. John901
91. 678John
92. John1985@
93. John012
94. john5678
95. JOHN2024
96. john#85
97. Buddy1985
98. Techcorp1985
99. Buddy85#
100. john*
101. John*24
102. John01
103. john012
104. John90
105. 12John85
106. John234
107. john23
108. 5678john
109. 89john
110. john1234
111. 15031985
112. JohnSmith123
113. 1985
114. 123John
115. john01
116. john@85
117. John78
118. John$24
119. 78John
120. John2345
121. BUDDY1985
122. Patriots1234
123. 345john
124. 67John
125. JohnJohn
126. 45john
127. 012john
128. john678
129. Johnpassword
130. Boston85*
131. John678
132. JohnTechcorp
133. 901John
134. Boston85#
135. JOHN*
136. 1985john
137. john85
138. Buddy#
139. buddy2024
140. johnpass
141. boston85
142. john6789
143. Patriots123
144. 78john
145. 012John
146. john2345
147. 01john
148. john0123
149. john89
150. John45
151. 123John85
152. John23
153. John!85
154. Patriots85
155. Boston85@
156. Buddy85$
157. 34John
158. passwordjohn
159. john4567
160. john45
161. 56john
162. John789
163. 01John
164. techcorp1985
165. BUDDY85
166. 1john85
167. John1985*
168. 89John
169. Boston1985#
170. 567john
171. 789john
172. john456
173. 0123john
174. 3456john
175. john8901
176. John890
177. JohnSmith12345
178. Buddy$
179. john9012
180. John@24
181. john901
182. John5678
183. Buddy!
184. BOSTON1985
185. JOHN85
186. 678john
187. 34john
188. John8901
189. john67
190. 8901John
191. Patriots1985
192. John89
193. john34
194. 890john
195. john@
196. 23john
197. John456
198. 1503
199. john*85
200. johnjohn
201. 9012John
202. John!24
203. john12
204. 5678John
205. John67
206. 890John
207. 345John
208. john234
209. John2024
210. Boston1985!
211. John1985#
212. john1985
213. 1234john
214. John34
215. 901john
216. TECHCORP1985
217. buddy1985
218. John12
219. John123!
220. John1985$
221. john123
222. johnpassword
223. 1John
224. john56
225. JohnSmith85
226. Patriots12345
227. passwordJohn
228. John85*
229. john7890
230. 6789John
231. John7890
232. john90
233. john#
234. john3456
235. 85john
236. 1John85
237. 90John
238. techcorp85
239. boston1985

==================================================
Detailed Attempt Log:
==================================================
[2025-07-28 09:58:09] Attempt #1: john.smith:456John - FAILED (Pattern: FirstName) (Response: 0.001s)
[2025-07-28 09:58:11] Attempt #2: john.smith:85John - FAILED (Pattern: FirstName + BirthYear(short)) (Response: 0.004s)
[2025-07-28 09:58:13] Attempt #3: john.smith:4567John - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-28 09:58:14] Attempt #4: john.smith:John85$ - FAILED (Pattern: FirstName + BirthYear(short) + Special) (Response: 0.005s)
[2025-07-28 09:58:16] Attempt #5: john.smith:BOSTON85 - FAILED (Pattern: BirthYear(short)) (Response: 0.003s)
[2025-07-28 09:58:17] Attempt #6: john.smith:12john - FAILED (Pattern: Unknown) (Response: 0.004s)
[2025-07-28 09:58:19] Attempt #7: john.smith:Johnpass - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 09:58:20] Attempt #8: john.smith:234John - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 09:58:22] Attempt #9: john.smith:Buddy@ - FAILED (Pattern: PetName + Special) (Response: 0.004s)
[2025-07-28 09:58:22] Attempt #10: john.smith:Buddy* - FAILED (Pattern: PetName + Special) (Response: 0.004s)
[2025-07-28 09:58:24] Attempt #11: john.smith:12John - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 09:58:25] Attempt #12: john.smith:john!85 - FAILED (Pattern: BirthYear(short) + Special) (Response: 0.003s)
[2025-07-28 09:58:26] Attempt #13: john.smith:John9012 - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-28 09:58:27] Attempt #14: john.smith:John56 - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-28 09:58:27] Attempt #15: john.smith:john$85 - FAILED (Pattern: BirthYear(short) + Special) (Response: 0.003s)
[2025-07-28 09:58:29] Attempt #16: john.smith:123john85 - FAILED (Pattern: BirthYear(short) + CommonNumbers) (Response: 0.002s)
[2025-07-28 09:58:30] Attempt #17: john.smith:John#85 - FAILED (Pattern: FirstName + BirthYear(short) + Special) (Response: 0.003s)
[2025-07-28 09:58:32] Attempt #18: john.smith:789John - FAILED (Pattern: FirstName) (Response: 0.002s)
[2025-07-28 09:58:34] Attempt #19: john.smith:John3456 - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 09:58:34] Attempt #20: john.smith:John$85 - FAILED (Pattern: FirstName + BirthYear(short) + Special) (Response: 0.003s)
[2025-07-28 09:58:35] Attempt #21: john.smith:Buddy85@ - FAILED (Pattern: BirthYear(short) + PetName + Special) (Response: 0.004s)
