Known Password Attack Log
Target: 127.0.0.1:8081
Username: john.smith
Intelligence Gathering: Successful
Attack started: 2025-07-28 10:16:31
Total attempts: 199
Password candidates generated: 239
Success: Yes
Found password: John1985!

==================================================
Target Intelligence:
==================================================
full_name: John Smith
first_name: John
last_name: Smith
birth_year: 1985
birth_date: 15031985
age: 39
pet_name: Buddy
hometown: Boston
current_city: Boston
favorite_team: Patriots
company: TechCorp
job_title: Developer
interests: ['technology', 'football', 'gaming']
common_numbers: ['15', '03', '1985', '85']

==================================================
Generated Password Candidates:
==================================================
 1. John01
 2. John!24
 3. buddy1985
 4. john890
 5. johnpassword
 6. Johnpassword
 7. 1John
 8. 45John
 9. Boston1985@
10. 6789John
11. john67
12. 7890john
13. johnjohn
14. john345
15. John85*
16. JohnSmith123
17. John!85
18. BUDDY85
19. 234john
20. John789
21. Boston85$
22. John23
23. johnjohn85
24. john6789
25. 23john
26. John234
27. Techcorp1985
28. 1985john
29. 8901john
30. Buddy85!
31. john2024
32. john567
33. 1234john
34. 45john
35. 01john
36. JOHN2024
37. john1234
38. 234John
39. john5678
40. 89john
41. John901
42. Patriots1985
43. john012
44. john12
45. Buddy1985
46. 123john
47. Boston1985#
48. Buddy85#
49. john4567
50. 56john
51. Boston1985$
52. john0123
53. 67john
54. 1john85
55. BOSTON1985
56. john*85
57. boston85
58. john85
59. 2345John
60. buddy2024
61. John78
62. John85@
63. John85$
64. JohnJohn85
65. 345john
66. John890
67. JohnSmith12345
68. Patriots85
69. JOHN85
70. 456john
71. John567
72. John12
73. 12john85
74. john9012
75. John89
76. 1503
77. John34
78. John56
79. john901
80. john#85
81. Patriots12345
82. Patriots1234
83. 678john
84. 12john
85. 12John
86. Boston85*
87. John*85
88. Buddy@
89. Buddy85@
90. passwordjohn
91. 90john
92. 3456john
93. 901John
94. John123!
95. john!
96. JOHN#
97. john7890
98. John@24
99. 012john
100. John85!
101. Buddy$
102. 23John
103. John#85
104. Buddy#
105. John012
106. john678
107. 78john
108. John1985@
109. 123john85
110. John0123
111. 01John
112. john45
113. 2345john
114. 678John
115. TECHCORP1985
116. John1985#
117. John123
118. 0123John
119. Johnpass
120. john56
121. John6789
122. John4567
123. John8901
124. techcorp85
125. JOHN*
126. John45
127. john8901
128. 78John
129. 89John
130. buddy85
131. John2024
132. 456John
133. JOHN!
134. 890John
135. John345
136. JOHN@
137. john78
138. John1234
139. 5678john
140. 123John
141. john!85
142. BUDDY2024
143. 15031985
144. Buddy!
145. John3456
146. JohnSmith1234
147. JohnTechcorp
148. Buddy85*
149. john456
150. 567john
151. 789John
152. 4567John
153. Buddy@85
154. john#
155. John678
156. John9012
157. Boston85#
158. John90
159. john789
160. John85#
161. Buddy*
162. john$85
163. John*24
164. 1985
165. 12John85
166. 85John
167. JohnJohn
168. john23
169. 34john
170. 56John
171. 90John
172. 012John
173. 85john
174. 7890John
175. Buddy2024
176. John$85
177. Boston85!
178. john34
179. john89
180. 890john
181. john123!
182. 3456John
183. 1john
184. 1John85
185. 8901John
186. 9012John
187. john234
188. john2345
189. TECHCORP85
190. 5678John
191. 789john
192. john$
193. johnpass
194. Boston1985*
195. john@85
196. JohnSmith85
197. john01
198. passwordJohn
199. John1985!
200. john@
201. johntechcorp
202. john90
203. 345John
204. John5678
205. 4567john
206. 67John
207. BOSTON85
208. john*
209. John7890
210. John@85
211. 6789john
212. 9012john
213. Buddy85$
214. Boston85@
215. 0123john
216. JOHN1985
217. 567John
218. John$24
219. Patriots123
220. 901john
221. john3456
222. John456
223. John#24
224. JOHN$
225. John1985$
226. 1234John
227. Boston1985!
228. John1985*
229. 34John
230. 1985John
231. BUDDY1985
232. John2345
233. john123
234. john1985
235. Techcorp85
236. 123John85
237. boston1985
238. techcorp1985
239. John67

==================================================
Detailed Attempt Log:
==================================================
[2025-07-28 10:16:31] Attempt #1: john.smith:John01 - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-28 10:16:31] Attempt #2: john.smith:John!24 - FAILED (Pattern: FirstName + Special) (Response: 0.003s)
[2025-07-28 10:16:33] Attempt #3: john.smith:buddy1985 - FAILED (Pattern: BirthYear) (Response: 0.002s)
[2025-07-28 10:16:34] Attempt #4: john.smith:john890 - FAILED (Pattern: Unknown) (Response: 0.002s)
[2025-07-28 10:16:36] Attempt #5: john.smith:johnpassword - FAILED (Pattern: Unknown) (Response: 0.003s)
[2025-07-28 10:16:36] Attempt #6: john.smith:Johnpassword - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 10:16:38] Attempt #7: john.smith:1John - FAILED (Pattern: FirstName) (Response: 0.002s)
[2025-07-28 10:16:40] Attempt #8: john.smith:45John - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 10:16:41] Attempt #9: john.smith:Boston1985@ - FAILED (Pattern: BirthYear + Hometown + Special) (Response: 0.003s)
[2025-07-28 10:16:43] Attempt #10: john.smith:6789John - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 10:16:45] Attempt #11: john.smith:john67 - FAILED (Pattern: Unknown) (Response: 0.004s)
[2025-07-28 10:16:45] Attempt #12: john.smith:7890john - FAILED (Pattern: Unknown) (Response: 0.003s)
[2025-07-28 10:16:47] Attempt #13: john.smith:johnjohn - FAILED (Pattern: Unknown) (Response: 0.004s)
[2025-07-28 10:16:48] Attempt #14: john.smith:john345 - FAILED (Pattern: Unknown) (Response: 0.002s)
[2025-07-28 10:16:49] Attempt #15: john.smith:John85* - FAILED (Pattern: FirstName + BirthYear(short) + Special) (Response: 0.002s)
[2025-07-28 10:16:50] Attempt #16: john.smith:JohnSmith123 - FAILED (Pattern: FirstName + CommonNumbers) (Response: 0.003s)
[2025-07-28 10:16:52] Attempt #17: john.smith:John!85 - FAILED (Pattern: FirstName + BirthYear(short) + Special) (Response: 0.002s)
[2025-07-28 10:16:53] Attempt #18: john.smith:BUDDY85 - FAILED (Pattern: BirthYear(short)) (Response: 0.002s)
[2025-07-28 10:16:54] Attempt #19: john.smith:234john - FAILED (Pattern: Unknown) (Response: 0.002s)
[2025-07-28 10:16:56] Attempt #20: john.smith:John789 - FAILED (Pattern: FirstName) (Response: 0.002s)
[2025-07-28 10:16:57] Attempt #21: john.smith:Boston85$ - FAILED (Pattern: BirthYear(short) + Hometown + Special) (Response: 0.002s)
